Article,Cites,Year
"The effects of the electric and magnetic fields on the nonlinear optical properties in the step-like asymmetric quantum wellE Kasapoglu, F Ungan, CA Duque, U Yesilgul, ME Mora-Ramos, H Sari, ...
Physica E: Low-dimensional Systems and Nanostructures 61, 107-110",6,2014
"Relevance of various Dirac covariants in hadronic Bethe-Salpeter wave functions in electromagnetic decays of ground state vector mesonsS Bhatnagar, J Mahecha, Y Mengesha
Physical Review D 90 (1), 014034",8,2014
"Physical properties of quasi-one-dimensional MgO and Fe 3 O 4-based nanostructuresJ Mejia-Lopez, J Mazo-Zuluaga, S López-Moreno, F Munoz, LF Duque, ...
Physical Review B 90 (3), 035411",2,2014
"FIMP realization of the scotogenic modelE Molinaro, CE Yaguna, O Zapata
Journal of Cosmology and Astroparticle Physics 2014 (07), 015",12,2014
"The impending demise of comet C/2012 S1 (ISON)I Ferrín
Planetary and Space Science 96, 114-119",6,2014
"Effects of applied lateral electric field and hydrostatic pressure on the intraband optical transitions in a GaAs/Ga1− xAlxAs quantum ringAK Manaselyan, MG Barseghyan, AA Kirakosyan, D Laroze, CA Duque
Physica E: Low-dimensional Systems and Nanostructures 60, 95-99",6,2014
"Electron-related optical responses in triangular quantum dotsA Tiutiunnyk, V Tulupenko, ME Mora-Ramos, E Kasapoglu, F Ungan, ...
Physica E: Low-Dimensional Systems and Nanostructures 60, 127-132",35,2014
"Reply to comment on ‘Time-resolved resonant photoionization of He using a time-dependent Feshbach method with ultrashort laser pulses’CM Granados-Castro, JL Sanz-Vicario
Journal of Physics B: Atomic, Molecular and Optical Physics 47 (13), 138002",,2014
"Non-perturbative effects of primordial curvature perturbations on the apparent value of a cosmological constantAE Romano, SS Negrete, M Sasaki, AA Starobinsky
EPL (Europhysics Letters) 106 (6), 69002",10,2014
"Galaxy cluster mass reconstruction project–I. Methods and first results on galaxy-based techniquesL Old, RA Skibba, FR Pearce, D Croton, SI Muldrew, JC Muñoz-Cuartas, ...
Monthly Notices of the Royal Astronomical Society 441 (2), 1513-1536",18,2014
"States of an on-axis two-hydrogenic-impurity complex in concentric double quantum ringsM R-Fulla, JH Marín, YA Suaza, CA Duque, ME Mora-Ramos
Physics Letters A 378 (30), 2297-2302",,2014
"Donor impurity states and related terahertz range nonlinear optical response in GaN cylindrical quantum wires: Effects of external electric and magnetic fieldsJD Correa, ME Mora-Ramos, CA Duque
Journal of Applied Physics 115 (21), 213105",5,2014
"Evidence of Ferromagnetic Signal Enhancement in Fe and Co Codoped ZnO Nanoparticles by Increasing Superficial Co3+ ContentJJ Beltrán, CA Barrero, A Punnoose
The Journal of Physical Chemistry C 118 (24), 13203-13217",7,2014
"Electromagnetic energy transport in finite photonic structuresM de Dios-Leyva, CA Duque, JC Drake-Pérez
Optics express 22 (11), 12760-12772",,2014
"Engineering iron oxide nanoparticles for biomedicine and bioengineering applicationsJP Urquijo, H Casanova, AL Morales
Revista Facultad de Ingeniería Universidad de Antioquia, 230-243",1,2014
"A new method to determine large scale structure from the luminosity distanceAE Romano, HW Chiang, P Chen
Classical and Quantum Gravity 31 (11), 115008",1,2014
"The simplest method to measure the geocentric lunar distance: a case of citizen scienceJI Zuluaga, JC Figueroa, I Ferrin
arXiv preprint arXiv:1405.4580",1,2014
"Experimental QR code optical encryption: noise-free data recoveringJF Barrera, A Mira-Agudelo, R Torroba
Optics letters 39 (10), 3074-3077",13,2014
